,Unnamed: 0,totalprice,unitprice,shoufu,structure,jianzhumianji,shiyongmianji,shijianratio,year,totalfloor,louceng,chaoxiang,zhuangxiu,zhuzhiaweizhi,dis,y1,y2,c1,c2,x1,x2,sqjuli,fsqjuli
456,456,1300.0,46579.0,390,"[u'4', u'2', u'1', u'4']",279.0,278.0,0.996415770609319,2009,27,1,None,4,"(24.47042, 118.16091)",思明区,20.0,71.0,23.0,13.0,51.0,21.0,"[8544.188598799547, 4810.95851329217, 4837.110558968606, 12565.155560365994, 4025.461070706726, 4148.065523931248, 469.77581500242377, 4017.282577320683, 8281.15134304619, 5214.839630020386, 5214.839630020386, 13360.590571838547, 13134.330139041134, 11041.739783320067, 26260.744554261724, 13230.80866427801]","[7725.23167534295, 7007.712747294551, 5757.0263561186275, 4127.082079757522, 4589.34268108403]"
457,457,110.0,26830.0,33,"[u'1', u'1', u'1', u'1']",41.0,40.0,0.975609756097561,2012,18,3,5,4,"(24.66158, 118.24421)",翔安区,11.0,33.0,8.0,8.0,31.0,15.0,"[28512.602121204913, 25201.4159064793, 21401.488994607753, 27507.076688039102, 21542.662339756826, 18645.57263800117, 22427.98774545828, 23844.03941552709, 29544.45027840654, 25670.954134183587, 25670.954134183587, 18122.01932479255, 29438.17247026461, 12418.5200316422, 13158.528758160299, 28803.327367132682]","[26237.713143326924, 24260.5177276158, 17055.68353129087, 19531.684578041775, 21764.57497443563]"
458,458,610.0,50834.0,183,"[u'4', u'2', u'1', u'2']",120.0,,None,2012,14,2,None,1,"(24.5081, 118.14627)",湖里区,47.0,189.0,33.0,12.0,68.0,33.0,"[9145.432483422459, 5546.331674338505, 2127.243045317221, 10785.873335235481, 1923.3933806476298, 3041.397473651141, 3960.4355767972124, 4178.211781295569, 9899.667791928077, 6028.349967541142, 6028.349967541142, 9059.721681951058, 12007.820996565171, 9304.971032485806, 21932.58048676981, 11790.879347937482]","[7233.123457207616, 5545.986717704984, 3487.8023701829466, 5259.215010737602, 2344.3445489622413]"
459,459,376.0,48206.0,112,"[u'2', u'2', u'1', u'1']",78.0,76.0,0.9743589743589743,2003,12,2,4,5,"(24.49139, 118.13189)",思明区,40.0,143.0,43.0,20.0,14.0,38.0,"[6840.266747250363, 3191.8117188320457, 1178.3529629658547, 9286.802686362906, 514.680118100882, 4735.457179400875, 3373.6067685756852, 1826.5161220925177, 7545.340976097741, 3672.5853270294274, 3672.5853270294274, 9945.421104664376, 10222.045006928138, 11532.761965019801, 23674.91479545294, 10139.012944156666]","[5107.654395034849, 3720.711996858189, 5656.115681720288, 6370.646416915899, 854.3032941309908]"
460,460,89.0,10000.0,26,"[u'3', u'2', u'1', u'1']",89.0,,None,,30,1,None,1,"(24.47951, 118.08948)",思明区,12.0,61.0,36.0,20.0,64.0,25.0,"[3094.075261388614, 2752.328086936015, 4465.647037488679, 5344.016388437762, 4743.76358266366, 9230.117410827685, 7127.062581947364, 3309.6838123000052, 4802.013329909662, 2605.299912222909, 2605.299912222909, 10459.514245575034, 5848.6053081040845, 15872.972386439194, 25206.53550362496, 5921.709256058207]","[697.794001440726, 1308.9318906967349, 10041.996477782057, 10747.461781664588, 4227.763646447162]"
461,461,1100.0,66667.0,330,"[u'5', u'2', u'1', u'3']",165.0,155.0,0.9393939393939394,2014,50,1,4,1,"(24.46406, 118.09233)",思明区,23.0,57.0,35.0,17.0,10.0,32.0,"[1818.2752538796829, 2192.718799998756, 5375.744470703662, 6419.467473301003, 5406.59272444647, 9637.332705966654, 6913.771892017616, 3365.0180747652294, 3116.0026191876273, 1774.9789650293335, 1774.9789650293335, 12164.562676656262, 6392.756069497095, 16554.70478116511, 26868.01768054314, 6700.469643829465]","[1413.9494219441513, 2899.061869483628, 10676.969106178785, 10806.526907326333, 5044.805378436083]"
462,462,195.0,21911.0,58,"[u'2', u'2', u'1', u'1']",89.0,88.0,0.9887640449438202,2014,22,2,5,2,"(24.61967, 118.00353)",集美区,75.0,29.0,3.0,3.0,21.0,21.0,"[19933.744661303455, 20162.458842474098, 18134.288184890484, 14056.001623020391, 18944.61740477712, 21597.595162711274, 22551.598786148897, 19797.928043179098, 22066.523880581113, 20224.487886921837, 20224.487886921837, 10395.69279510869, 15710.549580174318, 23727.09644686115, 15361.670199972817, 14801.51262167482]","[18034.77149383325, 17095.293673987628, 20855.66967908231, 24039.76680176367, 18407.707584087817]"
463,463,86.0,,26,"[u'1', u'1', u'1', u'1']",62.0,,None,2013,2,2,5,2,"(24.63881, 118.06388)",集美区,35.0,35.0,3.0,3.0,16.0,16.0,"[20595.42691059912, 19579.366695450757, 16546.66411502008, 15845.908327391144, 17287.86368067602, 18662.849119030758, 20622.79306774976, 18807.401792869332, 22581.70392005685, 19794.565554611603, 19794.565554611603, 7778.20603007386, 17865.8048350893, 19038.653493124595, 9473.40133529403, 16951.90868928303]","[18286.291517446272, 16775.047357999916, 17531.62780337374, 21053.36266262544, 16911.19720596059]"
464,464,210.0,25000.0,63,"[u'2', u'2', u'1', u'1']",84.0,,None,2003,8,2,None,4,"(24.49411, 118.03134)",海沧区,25.0,39.0,9.0,9.0,14.0,14.0,"[6590.43364199765, 8820.003998572092, 9704.128146551158, 995.7880855182536, 10273.789189852056, 14724.414715086657, 13178.944310567364, 9376.658037540203, 8634.036011877539, 8577.7361704893, 8577.7361704893, 10829.203277959514, 1540.3127152068514, 20638.774257449473, 25141.002524695887, 614.4790898610656]","[5829.95440162038, 6489.156213608272, 15152.647321291988, 16565.58877355359, 9642.40759623682]"
465,465,256.0,31220.0,76,"[u'2', u'2', u'1', u'1']",82.0,81.0,0.9878048780487805,2015,34,2,None,3,"(24.60455, 118.12297)",集美区,11.0,79.0,8.0,8.0,18.0,18.0,"[17335.513634801464, 15157.520767756487, 11481.905266059566, 14518.2807166875, 12066.055643835702, 12251.929105280153, 14876.95198575371, 14065.375842438738, 18978.58773089567, 15502.747985233053, 15502.747985233053, 4547.0077367895365, 16584.152787696843, 11957.84123954549, 11124.201774412804, 15814.746642981108]","[14877.312031802963, 12985.431855197698, 10912.954276548848, 14513.781358572998, 11890.32200280241]"
466,466,990.0,69231.0,297,"[u'3', u'2', u'1', u'2']",143.0,142.0,0.993006993006993,2009,32,2,None,3,"(24.48782, 118.1121)",思明区,23.0,114.0,44.0,25.0,73.0,33.0,"[5100.218392601198, 2202.356124164554, 2081.3819903534863, 7333.95640799994, 2273.410143023847, 6767.17100603935, 5033.7808964158485, 1519.327898866146, 6208.656130764114, 2526.2581685386576, 2526.2581685386576, 9724.390202589624, 8184.357879038924, 13430.518948002094, 24080.076994651008, 8128.846047622354]","[3113.1834570153405, 1730.558849806112, 7581.869724739647, 8384.77644295274, 1787.4236439712092]"
467,467,640.0,46377.0,192,"[u'3', u'2', u'1', u'2']",138.0,137.0,0.9927536231884058,2000,33,2,8,4,"(24.48641, 118.11146)",思明区,22.0,108.0,44.0,25.0,73.0,31.0,"[4940.639423101105, 2052.15788732059, 2237.9081787679556, 7294.1461397881785, 2397.9182559122387, 6875.054846241646, 5052.786784924763, 1453.7329136458304, 6039.541947466624, 2365.2903881152706, 2365.2903881152706, 9865.122489673076, 8105.150915013327, 13567.48397408, 24239.175561882308, 8067.1785560205135]","[2985.501399782332, 1697.1209987397494, 7713.218361175722, 8457.890504530973, 1933.3799775788536]"
468,468,910.0,59091.0,273,"[u'3', u'2', u'1', u'2']",154.0,153.0,0.9935064935064936,2008,32,3,None,4,"(24.48848, 118.09046)",思明区,14.0,58.0,36.0,14.0,61.0,19.0,"[4067.004653848474, 3259.649376074412, 3932.9006926983548, 5158.609877991927, 4359.350359009191, 8876.374107711164, 7175.2307857712085, 3423.6092885048756, 5798.210659851232, 3247.2349052697573, 3247.2349052697573, 9463.276892472548, 6017.356214623638, 15313.677717711635, 24208.693482817755, 5934.875327060995]","[1613.9625349511796, 513.8265854923786, 9547.18625687226, 10574.269443535255, 3771.1706291278165]"
469,469,420.0,54788.0,126,"[u'2', u'2', u'1', u'1']",76.0,75.0,0.9868421052631579,2008,25,2,5,3,"(24.48486, 118.10295)",思明区,14.0,89.0,41.0,23.0,63.0,28.0,"[4266.154709114496, 2155.494540730816, 3002.570464039797, 6479.7065141858075, 3255.5072078164803, 7749.78454746942, 5853.6556547750115, 2098.7323033241496, 5593.666171848568, 2295.180224055456, 2295.180224055456, 9910.460874253054, 7231.77060487072, 14394.711288032431, 24467.71882611473, 7212.8265577913435]","[2143.507327942782, 975.9174483146088, 8555.96607675095, 9330.291089661809, 2745.55653121598]"
470,470,480.0,40991.0,144,"[u'3', u'5', u'1', u'5']",117.0,117.0,1.0,2011,32,2,None,4,"(24.49203, 118.04987)",海沧区,20.0,34.0,18.0,18.0,20.0,20.0,"[5185.650267789615, 6981.475649221083, 7858.785633877922, 1118.2762563751023, 8404.986795681367, 12877.937623656617, 11288.728374860842, 7490.915911487062, 7312.38705360856, 6767.526080387566, 6767.526080387566, 10070.277361660597, 2252.3078662332787, 18936.774493606237, 24728.504490567062, 1859.9885900476008]","[4025.628755467123, 4600.722119139743, 13364.661285634622, 14684.573973440223, 7779.5436710014255]"
471,471,265.0,44389.0,79,"[u'2', u'2', u'1', u'1']",59.0,58.0,0.9830508474576272,1990,7,1,None,3,"(24.46615, 118.08675)",思明区,23.0,48.0,34.0,18.0,10.0,29.0,"[1632.9940254374944, 2722.545220346234, 5597.478294050515, 5825.046393890367, 5709.187145009247, 10037.34514385087, 7439.826073409582, 3796.556666017908, 3324.4917624805244, 2339.7011189158234, 2339.7011189158234, 11950.296236914593, 5785.2004382489, 16888.701065921916, 26710.29552469526, 6089.507929230182]","[981.4331387793944, 2788.004659309409, 11015.678300503238, 11291.954250167464, 5294.289476554979]"
